"","qsim_site","river_name","section_id","section_name","km","qsimVis_ID","qsimVis_source"
"Lwk__S202.Lwk__9.9","Lwk__S202.Lwk__9.9","Lwk","S202","Lwk",9.9,"LWK","verknet"
"BSSK__S309.BSSK__9.85.m","BSSK__S309.BSSK__9.85","BSSK","S309","BSSK",9.85,"BSK","verknet"
"SOW__S304.SOW__9.85.m","SOW__S304.SOW__9.85","SOW","S304","SOW",9.85,"SOW","verknet"
"BSSK__S309.BSSK__9.75.m","BSSK__S309.BSSK__9.75","BSSK","S309","BSSK",9.75,"BSK","verknet"
"BSSK__S309.BSSK__9.5.m","BSSK__S309.BSSK__9.5","BSSK","S309","BSSK",9.5,"BSK","verknet"
"Lwk__S202.Lwk__9.5","Lwk__S202.Lwk__9.5","Lwk","S202","Lwk",9.5,"LWK","verknet"
"Lwk__S203.Lwk__9.5","Lwk__S203.Lwk__9.5","Lwk","S203","Lwk",9.5,"LWK","verknet"
"Lwk__S203.Lwk__9.37","Lwk__S203.Lwk__9.37","Lwk","S203","Lwk",9.37,"LWK","verknet"
"BSSK__S309.BSSK__9.2.m","BSSK__S309.BSSK__9.2","BSSK","S309","BSSK",9.2,"BSK","verknet"
"Lwk__S203.Lwk__9.2","Lwk__S203.Lwk__9.2","Lwk","S203","Lwk",9.2,"LWK","verknet"
"SOW__S304.SOW__9.1.m","SOW__S304.SOW__9.1","SOW","S304","SOW",9.1,"SOW","verknet"
"SOW__S305.SOW__8.95.m","SOW__S305.SOW__8.95","SOW","S305","SOW",8.95,"SOW","verknet"
"BSSK__S309.BSSK__8.8.m","BSSK__S309.BSSK__8.8","BSSK","S309","BSSK",8.8,"BSK","verknet"
"SOW__S305.SOW__8.75.m","SOW__S305.SOW__8.75","SOW","S305","SOW",8.75,"SOW","verknet"
"BSSK__S309.BSSK__8.7.m","BSSK__S309.BSSK__8.7","BSSK","S309","BSSK",8.7,"BSK","verknet"
"Lwk__S203.Lwk__8.7.m","Lwk__S203.Lwk__8.7","Lwk","S203","Lwk",8.7,"LWK","verknet"
"BSSK__S309.BSSK__8.6.m","BSSK__S309.BSSK__8.6","BSSK","S309","BSSK",8.6,"BSK","verknet"
"BSSK__S310.BSSK__8.6.m","BSSK__S310.BSSK__8.6","BSSK","S310","BSSK",8.6,"BSK","verknet"
"SOW__S305.SOW__8.29.m","SOW__S305.SOW__8.29","SOW","S305","SOW",8.29,"SOW","verknet"
"Lwk__S203.Lwk__8.1.m","Lwk__S203.Lwk__8.1","Lwk","S203","Lwk",8.1,"LWK","verknet"
"SOW__S305.SOW__8.1.m","SOW__S305.SOW__8.1","SOW","S305","SOW",8.1,"SOW","verknet"
"BSSK__S310.BSSK__8.025","BSSK__S310.BSSK__8.025","BSSK","S310","BSSK",8.025,"BSK","verknet"
"SOW__S305.SOW__7.9.m","SOW__S305.SOW__7.9","SOW","S305","SOW",7.9,"SOW","verknet"
"Lwk__S203.Lwk__7.7.m","Lwk__S203.Lwk__7.7","Lwk","S203","Lwk",7.7,"LWK","verknet"
"BSSK__S310.BSSK__7.45","BSSK__S310.BSSK__7.45","BSSK","S310","BSSK",7.45,"BSK","verknet"
"SOW__S305.SOW__7.3.m","SOW__S305.SOW__7.3","SOW","S305","SOW",7.3,"SOW","verknet"
"SOW__S305.SOW__7.2.m","SOW__S305.SOW__7.2","SOW","S305","SOW",7.2,"SOW","verknet"
"Lwk__S203.Lwk__7.m","Lwk__S203.Lwk__7","Lwk","S203","Lwk",7,"LWK","verknet"
"Lwk__S203.Lwk__6.6.m","Lwk__S203.Lwk__6.6","Lwk","S203","Lwk",6.6,"LWK","verknet"
"SOW__S305.SOW__6.6.m","SOW__S305.SOW__6.6","SOW","S305","SOW",6.6,"SOW","verknet"
"SOW__S306.SOW__6.6.m","SOW__S306.SOW__6.6","SOW","S306","SOW",6.6,"SOW","verknet"
"SOW__S306.SOW__6.48.m","SOW__S306.SOW__6.48","SOW","S306","SOW",6.48,"SOW","verknet"
"SOW__S306.SOW__6.4.m","SOW__S306.SOW__6.4","SOW","S306","SOW",6.4,"SOW","verknet"
"SOW__S501.SOW__6.4.m","SOW__S501.SOW__6.4","SOW","S501","SOW",6.4,"SOW","verknet"
"Lwk__S203.Lwk__6.37.m","Lwk__S203.Lwk__6.37","Lwk","S203","Lwk",6.37,"LWK","verknet"
"SOW__S306.SOW__6.36.m","SOW__S306.SOW__6.36","SOW","S306","SOW",6.36,"SOW","verknet"
"SOW__S306.SOW__6.34.m","SOW__S306.SOW__6.34","SOW","S306","SOW",6.34,"SOW","verknet"
"SOW__S501.SOW__6.2.m","SOW__S501.SOW__6.2","SOW","S501","SOW",6.2,"SOW","verknet"
"Lwk__S203.Lwk__6.1.m","Lwk__S203.Lwk__6.1","Lwk","S203","Lwk",6.1,"LWK","verknet"
"SOW__S501.SOW__6.1.m","SOW__S501.SOW__6.1","SOW","S501","SOW",6.1,"SOW","verknet"
"SOW__S501.SOW__6.m","SOW__S501.SOW__6","SOW","S501","SOW",6,"SOW","verknet"
"SOW__S501.SOW__5.9.m","SOW__S501.SOW__5.9","SOW","S501","SOW",5.9,"SOW","verknet"
"Lwk__S203.Lwk__5.87.m","Lwk__S203.Lwk__5.87","Lwk","S203","Lwk",5.87,"LWK","verknet"
"SOW__S501.SOW__5.8.m","SOW__S501.SOW__5.8","SOW","S501","SOW",5.8,"SOW","verknet"
"SOW__S501.SOW__5.7.m","SOW__S501.SOW__5.7","SOW","S501","SOW",5.7,"SOW","verknet"
