"","m","b","A"
"Pa2__Panke.2__2.646",0,0,0
"NSK__S201.Nsk__2.6",-0.135657446002274,7.3183023872679,25
"Pa2__Panke.2__2.6",0,0,0
"SOW__S501.SOW__2.6",-0.235447527644481,7.67828082620488,32.6114311032344
"UHW__S504.UHW__2.6",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__2.532",0,0,0
"SOW__S501.SOW__2.5",-0.0423330197554092,2.41392285983067,30
"UHW__S504.UHW__2.5",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__2.458",0,0,0
"SOW__S501.SOW__2.4",-0.0423330197554092,2.41392285983067,30
"UHW__S504.UHW__2.4",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__2.391",0,0,0
"Pa2__Panke.2__2.3525",0,0,0
"Pa2__Panke.2__2.305",0,0,0
"SOW__S501.SOW__2.3",-0.0423330197554092,2.41392285983067,30
"UHW__S504.UHW__2.3",-0.0666372462488967,1.69505736981465,25.4370860927152
"WHK__S311.WHK__2.3",-0.201505174035748,6.97027281279398,34.5910364145658
"Pa2__Panke.2__2.268",0,0,0
"Lwk__S203.Lwk__2.26",-0.306178187982671,12.4404784328499,40.6314980006152
"NSK__S201.Nsk__2.25",-0.349563634080492,13.2257487285741,37.8350246969017
"Pa2__Panke.2__2.209",0,0,0
"SOW__S501.SOW__2.2",-0.0423330197554092,2.41392285983067,30
"UHW__S503.UHW__2.2",-0.0666372462488967,1.69505736981465,25.4370860927152
"UHW__S504.UHW__2.2",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__2.154",0,0,0
"Pa2__Panke.2__2.118",0,0,0
"SOW__S501.SOW__2.1",-0.0423330197554092,2.41392285983067,30
"UHW__S503.UHW__2.1",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__2.038",0,0,0
"SOW__S501.SOW__2",-0.0588899341486359,2.68692380056444,30
"UHW__S503.UHW__2",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__1.994",0,0,0
"Pa2__Panke.2__1.9384",0,0,0
"SpK__S125.SpK__1.91",0,1,5.5
"NSK__S201.Nsk__1.9",-0.346173165065612,13.0876812959126,37.8067470753605
"SOW__S501.SOW__1.9",-0.0588899341486359,2.68692380056444,30
"UHW__S503.UHW__1.9",-0.0666372462488967,1.69505736981465,25.4370860927152
"SpK__S125.SpK__1.89",0,1,5.5
"Pa2__Panke.2__1.874",0,0,0
"Pa2__Panke.2__1.821",0,0,0
"SOW__S501.SOW__1.8",-0.0588899341486359,2.68692380056444,30
"SpK__S125.SpK__1.8",0,1,5.5
"UHW__S503.UHW__1.8",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__1.756",0,0,0
"NSK__S201.Nsk__1.7",-0.353833113580712,13.103315125259,37.0324727175938
"SOW__S501.SOW__1.7",-0.0588899341486359,2.68692380056444,30
"UHW__S503.UHW__1.7",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__1.6895",0,0,0
"Lwk__S203.Lwk__1.67",-0.279893818123316,11.9182922414833,42.581477223739
"CVK__S308.CVK__1.65",-0.369529729390344,12.5943680542475,34.0821510491887
"Pa2__Panke.2__1.634",0,0,0
"Lwk__S313.LwK__1.6",-0.279893818123316,11.9182922414833,42.581477223739
"SOW__S501.SOW__1.6",-0.0588899341486359,2.68692380056444,30
"UHW__S503.UHW__1.6",-0.0666372462488967,1.69505736981465,25.4370860927152
"Pa2__Panke.2__1.597",0,0,0
"Pa2__Panke.2__1.557",0,0,0
"Lwk__S313.LwK__1.55",-0.281440321466692,11.914579016764,42.3343000557725
"CVK__S308.CVK__1.52",-0.336347083568783,11.6782821623658,34.7209258913571
"Pa2__Panke.2__1.502",0,0,0
"SOW__S501.SOW__1.5",-0.0596425211665099,2.47206020696143,41.4479495268139
"UHW__S503.UHW__1.5",-0.0666372462488967,1.69505736981465,25.4370860927152
"WHK__S311.WHK__1.5",-0.264865428750261,8.42541205925308,31.810161480898
"Pa2__Panke.2__1.4365",0,0,0
"SpK__S125.SpK__1.42",-0.0391345249294449,1.82709313264346,30
"NSK__S201.Nsk__1.4",-0.237501508265294,11.9031492579335,50.1182049110923
"SOW__S501.SOW__1.4",-0.0596425211665099,2.47206020696143,41.4479495268139
"UHW__S503.UHW__1.4",-0.111374407582938,1.85308056872038,16.6382978723404
"WHK__S311.WHK__1.4",-0.264865428750261,8.42541205925308,31.810161480898
"WHK__S312.WHK__1.4",-0.29344877947006,8.56269559774671,29.1795236402417
"Pa2__Panke.2__1.374",0,0,0
"SpK__S125.SpK__1.35",-0.0310723758999621,1.4946949602122,25
"Pa2__Panke.2__1.3248",0,0,0
"SpK__S125.SpK__1.31",-0.054945054945055,1.80769230769231,32.9
"CVK__S308.CVK__1.3",-0.338410181514709,11.2932401418736,33.3714549938348
"SOW__S501.SOW__1.3",-0.0596425211665099,2.47206020696143,41.4479495268139
"UHW__S503.UHW__1.3",-0.111374407582938,1.85308056872038,16.6382978723404
"WHK__S312.WHK__1.3",-0.301377008136866,8.85624869601502,29.3859466943579
"Pa2__Panke.2__1.263",0,0,0
"Lwk__S313.LwK__1.25",-0.285647014503673,11.8821812017329,41.5974282888229
"Pa2__Panke.2__1.232",0,0,0
"Lwk__S313.LwK__1.2",-0.281440321466692,11.914579016764,42.3343000557725
"Pa2__Panke.2__1.2",0,0,0
"SOW__S501.SOW__1.2",-0.0430856067732832,2.19905926622766,30
"UHW__S503.UHW__1.2",-0.111374407582938,1.85308056872038,16.6382978723404
"Lwk__S313.LwK__1.17",-0.281440321466692,11.914579016764,42.3343000557725
"Pa2__Panke.2__1.1621",0,0,0
"Lwk__S313.LwK__1.14",-0.314120675582344,12.5509512149181,39.9558265040975
"Pa2__Panke.2__1.13",0,0,0
"CVK__S308.CVK__1.1",-0.33590653035677,10.9636970582099,32.6391304347826
"SOW__S501.SOW__1.1",-0.0430856067732832,2.19905926622766,30
"UHW__S503.UHW__1.1",-0.111374407582938,1.85308056872038,16.6382978723404
"Pa2__Panke.2__1.092",0,0,0
"Pa2__Panke.2__1.048",0,0,0
"SOW__S501.SOW__1",-0.0430856067732832,2.19905926622766,30
"UHW__S503.UHW__1",-0.111374407582938,1.85308056872038,16.6382978723404
"Pa2__Panke.2__0.988",0,0,0
"Pa2__Panke.2__0.955",0,0,0
"NSK__S201.Nsk__0.95",-0.222941720629047,11.5023126734505,51.5933609958506
"SpK__S125.SpK__0.93",-0.0495766698024459,2.59586077140169,30
"Pa2__Panke.2__0.92",0,0,0
"Lwk__S313.LwK__0.9",-0.314874113141207,12.4705217555095,39.6047856430708
"SOW__S501.SOW__0.9",-0.0257761053621825,2.1409219190969,30
"SpK__S125.SpK__0.9",-0.0551269990592662,2.76124176857949,30
"UHW__S503.UHW__0.9",-0.111374407582938,1.85308056872038,16.6382978723404
"Pa2__Panke.2__0.8964",0,0,0
"Spk__S302.SpK__0.883",-0.0663129973474801,2.14721485411141,32.38
"Pa__Panke.1__0.868",0,0,0
